Start_Date,Start_Time,Heartrate,Risk
2025-09-29,01:25:38,93,0
2026-06-01,01:25:38,80,0
2026-06-02,01:25:38,67,0
2026-06-03,01:25:38,86,0
2026-06-04,01:25:38,83,0
2026-06-05,01:25:38,83,0
2026-06-06,01:25:38,85,0
2026-06-07,01:25:38,84,0
2026-06-08,01:25:38,87,0
2026-06-09,01:25:38,82,0
2026-06-10,01:25:38,85,0
2026-06-11,01:25:38,66,0
2026-06-12,01:25:38,75,0
2026-06-13,01:25:38,74,0
2026-06-14,01:25:38,95,0
2026-06-15,01:25:38,84,0
2026-06-16,01:25:38,83,0
2026-06-17,01:25:38,87,0
2026-06-18,01:25:38,87,0
2026-06-19,01:25:38,87,0
2026-06-20,01:25:38,74,0
2026-06-21,01:25:38,65,0
2026-06-22,01:25:38,97,0
2026-06-23,01:25:38,84,0
2026-06-24,01:25:38,83,0
2026-06-25,01:25:38,71,0
2026-06-26,01:25:38,98,0
2026-06-27,01:25:38,93,1
2026-06-28,01:25:38,88,1
2026-06-29,01:25:38,92,1
2026-06-30,01:25:38,90,1
2026-07-01,01:25:38,90,1
2026-07-02,01:25:38,91,1
2026-07-03,01:25:38,88,0
2026-07-04,01:25:38,71,0
2026-07-05,01:25:38,78,0
2026-07-06,01:25:38,71,0
2026-07-07,01:25:38,100,0
2026-07-08,01:25:38,85,0
2026-07-09,01:25:38,92,0
2026-07-10,01:25:38,84,0
2026-07-11,01:25:38,86,0
2026-07-12,01:25:38,88,0
2026-07-13,01:25:38,83,0
2026-07-14,01:25:38,77,0
2026-07-15,01:25:38,92,0
2026-07-16,01:25:38,89,1
2026-07-17,01:25:38,90,1
2026-07-18,01:25:38,75,0
2026-07-19,01:25:38,75,0
2026-07-20,01:25:38,93,0
2026-07-21,01:25:38,86,0
2026-07-22,01:25:38,89,0
2026-07-23,01:25:38,60,0
2026-07-24,01:25:38,93,0
2026-07-25,01:25:38,105,1
2026-07-26,01:25:38,97,1
2026-07-27,01:25:38,95,1
2026-07-28,01:25:38,70,0
2026-07-29,01:25:38,93,0
2026-07-30,01:25:38,65,0
2026-07-31,01:25:38,69,0
2026-08-01,01:25:38,70,0
2026-08-02,01:25:38,76,0
2026-08-03,01:25:38,86,0
2026-08-04,01:25:38,73,0
2026-08-05,01:25:38,71,0
2026-08-06,01:25:38,77,0
2026-08-07,01:25:38,71,0
2026-08-08,01:25:38,66,0
2026-08-09,01:25:38,71,0
2026-08-10,01:25:38,69,0
2026-08-11,01:25:38,70,0
2026-08-12,01:25:38,98,0
2026-08-13,01:25:38,86,0
2026-08-14,01:25:38,84,0
2026-08-15,01:25:38,74,0
2026-08-16,01:25:38,79,0
2026-08-17,01:25:38,90,0
2026-08-18,01:25:38,82,0
2026-08-19,01:25:38,86,0
2026-08-20,01:25:38,72,0
2026-08-21,01:25:38,84,0
2026-08-22,01:25:38,86,0
2026-08-23,01:25:38,82,0
2026-08-24,01:25:38,86,0
2026-08-25,01:25:38,68,0
2026-08-26,01:25:38,91,0
2026-08-27,01:25:38,87,0
2026-08-28,01:25:38,87,0
